STATES,TOTAL CO2
Alabama,109.0
Alaska,34.3
Arizona,86.1
Arkansas,64.3
California,360.9
Colorado,87.6
Connecticut,33.6
Delaware,12.3
District of Columbia,2.6
Florida,228.0
Georgia,132.7
Hawaii,17.7
Idaho,18.6
Illinois,202.4
Indiana,177.0
Iowa,76.8
Kansas,58.2
Kentucky,114.3
Louisiana,227.9
Maine,15.5
Maryland,52.0
Massachusetts,63.7
Michigan,152.7
Minnesota,88.5
Mississippi,67.8
Missouri,123.2
Montana,30.5
Nebraska,48.0
Nevada,36.4
New Hampshire,13.5
New Jersey,101.7
New Mexico,49.0
New York,157.7
North Carolina,115.8
North Dakota,56.5
Ohio,205.6
Oklahoma,93.3
Oregon,38.6
Pennsylvania,216.7
Rhode Island,10.1
South Carolina,69.3
South Dakota,14.6
Tennessee,98.3
Texas,711.0
Utah,58.5
Vermont,5.8
Virginia,98.5
Washington,78.7
West Virginia,91.3
Wisconsin,98.2
Wyoming,61.0