GEO_ID,NAME,S1902_C01_001E
13001,"Appling County, Georgia",6682
13003,"Atkinson County, Georgia",2785
13005,"Bacon County, Georgia",3966
13007,"Baker County, Georgia",1385
13009,"Baldwin County, Georgia",16122
13011,"Banks County, Georgia",6603
13013,"Barrow County, Georgia",25319
13015,"Bartow County, Georgia",37351
13017,"Ben Hill County, Georgia",6569
13019,"Berrien County, Georgia",7322
13021,"Bibb County, Georgia",58010
13023,"Bleckley County, Georgia",4168
13025,"Brantley County, Georgia",6564
13027,"Brooks County, Georgia",6350
13029,"Bryan County, Georgia",12636
13031,"Bulloch County, Georgia",26955
13033,"Burke County, Georgia",8184
13035,"Butts County, Georgia",8157
13037,"Calhoun County, Georgia",1853
13039,"Camden County, Georgia",19327
13043,"Candler County, Georgia",3965
13045,"Carroll County, Georgia",41150
13047,"Catoosa County, Georgia",24636
13049,"Charlton County, Georgia",3559
13051,"Chatham County, Georgia",108151
13053,"Chattahoochee County, Georgia",2550
13055,"Chattooga County, Georgia",9098
13057,"Cherokee County, Georgia",85825
13059,"Clarke County, Georgia",47224
13061,"Clay County, Georgia",1202
13063,"Clayton County, Georgia",92845
13065,"Clinch County, Georgia",2502
13067,"Cobb County, Georgia",277222
13069,"Coffee County, Georgia",14298
13071,"Colquitt County, Georgia",15374
13073,"Columbia County, Georgia",46840
13075,"Cook County, Georgia",6233
13077,"Coweta County, Georgia",51308
13079,"Crawford County, Georgia",4637
13081,"Crisp County, Georgia",8329
13083,"Dade County, Georgia",6070
13085,"Dawson County, Georgia",8711
13087,"Decatur County, Georgia",10153
13089,"DeKalb County, Georgia",277757
13091,"Dodge County, Georgia",7694
13093,"Dooly County, Georgia",4861
13095,"Dougherty County, Georgia",34780
13097,"Douglas County, Georgia",48968
13099,"Early County, Georgia",4082
13101,"Echols County, Georgia",1559
13103,"Effingham County, Georgia",20489
13105,"Elbert County, Georgia",7491
13107,"Emanuel County, Georgia",8392
13109,"Evans County, Georgia",4006
13111,"Fannin County, Georgia",10461
13113,"Fayette County, Georgia",39753
13115,"Floyd County, Georgia",35633
13117,"Forsyth County, Georgia",73675
13119,"Franklin County, Georgia",8305
13121,"Fulton County, Georgia",400016
13123,"Gilmer County, Georgia",11645
13125,"Glascock County, Georgia",1105
13127,"Glynn County, Georgia",33777
13129,"Gordon County, Georgia",20294
13131,"Grady County, Georgia",9037
13133,"Greene County, Georgia",7004
13135,"Gwinnett County, Georgia",288724
13137,"Habersham County, Georgia",15195
13139,"Hall County, Georgia",63931
13141,"Hancock County, Georgia",2991
13143,"Haralson County, Georgia",11128
13145,"Harris County, Georgia",12158
13147,"Hart County, Georgia",10019
13149,"Heard County, Georgia",4489
13151,"Henry County, Georgia",73826
13153,"Houston County, Georgia",56146
13155,"Irwin County, Georgia",3291
13157,"Jackson County, Georgia",22034
13159,"Jasper County, Georgia",5087
13161,"Jeff Davis County, Georgia",5270
13163,"Jefferson County, Georgia",5609
13165,"Jenkins County, Georgia",3409
13167,"Johnson County, Georgia",3361
13169,"Jones County, Georgia",10510
13171,"Lamar County, Georgia",6368
13173,"Lanier County, Georgia",3724
13175,"Laurens County, Georgia",17183
13177,"Lee County, Georgia",10354
13179,"Liberty County, Georgia",23232
13181,"Lincoln County, Georgia",3424
13183,"Long County, Georgia",5601
13185,"Lowndes County, Georgia",40472
13187,"Lumpkin County, Georgia",11649
13189,"McDuffie County, Georgia",8103
13191,"McIntosh County, Georgia",6033
13193,"Macon County, Georgia",4673
13195,"Madison County, Georgia",10712
13197,"Marion County, Georgia",3331
13199,"Meriwether County, Georgia",8151
13201,"Miller County, Georgia",2300
13205,"Mitchell County, Georgia",7889
13207,"Monroe County, Georgia",9803
13209,"Montgomery County, Georgia",3039
13211,"Morgan County, Georgia",6656
13213,"Murray County, Georgia",14081
13215,"Muscogee County, Georgia",72924
13217,"Newton County, Georgia",36626
13219,"Oconee County, Georgia",13093
13221,"Oglethorpe County, Georgia",5621
13223,"Paulding County, Georgia",52389
13225,"Peach County, Georgia",10103
13227,"Pickens County, Georgia",11841
13229,"Pierce County, Georgia",7072
13231,"Pike County, Georgia",6106
13233,"Polk County, Georgia",15011
13235,"Pulaski County, Georgia",3817
13237,"Putnam County, Georgia",8660
13239,"Quitman County, Georgia",934
13241,"Rabun County, Georgia",6563
13243,"Randolph County, Georgia",2616
13245,"Richmond County, Georgia",72165
13247,"Rockdale County, Georgia",30521
13249,"Schley County, Georgia",1877
13251,"Screven County, Georgia",5257
13253,"Seminole County, Georgia",3325
13255,"Spalding County, Georgia",24137
13257,"Stephens County, Georgia",9468
13259,"Stewart County, Georgia",1826
13261,"Sumter County, Georgia",11758
13263,"Talbot County, Georgia",2766
13265,"Taliaferro County, Georgia",612
13267,"Tattnall County, Georgia",8237
13269,"Taylor County, Georgia",3437
13271,"Telfair County, Georgia",4931
13273,"Terrell County, Georgia",3247
13275,"Thomas County, Georgia",17352
13277,"Tift County, Georgia",15058
13279,"Toombs County, Georgia",10403
13281,"Towns County, Georgia",4777
13283,"Treutlen County, Georgia",2641
13285,"Troup County, Georgia",24843
13287,"Turner County, Georgia",3023
13289,"Twiggs County, Georgia",3031
13291,"Union County, Georgia",9070
13293,"Upson County, Georgia",10204
13295,"Walker County, Georgia",25709
13297,"Walton County, Georgia",31133
13299,"Ware County, Georgia",13901
13301,"Warren County, Georgia",2332
13303,"Washington County, Georgia",7359
13305,"Wayne County, Georgia",10353
13307,"Webster County, Georgia",1101
13309,"Wheeler County, Georgia",1937
13311,"White County, Georgia",11588
13313,"Whitfield County, Georgia",36043
13315,"Wilcox County, Georgia",2606
13317,"Wilkes County, Georgia",3879
13319,"Wilkinson County, Georgia",3237
13321,"Worth County, Georgia",8038